emp_id,emp_name,gender,department,location,manager_name,employment_type,language,joining_date,exit_date
1022,Employee_1022,M,Operations,Pune,Meena Das,Intern,Tamil,1/9/2023,
1023,Employee_1023,M,Marketing,Hyderabad,Rahul Nair,Full-time,Kannada,11/25/2022,
1024,Employee_1024,M,Sales,Chennai,Rajesh Rao,Full-time,English,2/8/2023,3/19/2024
1025,Employee_1025,M,Finance,Bangalore,Rahul Nair,Intern,Hindi,3/5/2020,
1026,Employee_1026,F,Marketing,Delhi,Meena Das,Full-time,English,1/9/2023,
1027,Employee_1027,F,HR,Delhi,Meena Das,Full-time,Marathi,7/17/2020,
1028,Employee_1028,M,Sales,Delhi,Rahul Nair,Full-time,Hindi,8/31/2023,
1029,Employee_1029,M,HR,Bangalore,Rahul Nair,Intern,Hindi,1/27/2021,10/28/2022
1030,Employee_1030,M,Sales,Chennai,Amit Joshi,Full-time,English,6/3/2020,
1031,Employee_1031,F,Marketing,Delhi,Rajesh Rao,Full-time,Tamil,4/29/2021,3/7/2023
1032,Employee_1032,F,HR,Pune,Meena Das,Intern,Hindi,1/5/2020,
1033,Employee_1033,M,Operations,Pune,Rajesh Rao,Full-time,Kannada,1/23/2021,9/19/2021
1034,Employee_1034,M,Sales,Mumbai,Rajesh Rao,Full-time,English,9/3/2022,
1035,Employee_1035,F,Sales,Mumbai,Nisha Patel,Full-time,Kannada,5/3/2023,6/26/2024
1036,Employee_1036,F,Tech Support,Bangalore,Rahul Nair,Full-time,Telugu,6/16/2020,
1037,Employee_1037,F,HR,Pune,Rajesh Rao,Full-time,Tamil,3/21/2022,7/8/2024
1038,Employee_1038,M,Sales,Mumbai,Nisha Patel,Intern,Hindi,6/26/2023,
1039,Employee_1039,M,Tech Support,Pune,Nisha Patel,Intern,Kannada,12/15/2021,
1040,Employee_1040,M,Operations,Mumbai,Rahul Nair,Full-time,Hindi,9/11/2021,
1041,Employee_1041,M,Tech Support,Pune,Amit Joshi,Full-time,Marathi,6/25/2021,4/10/2022
1042,Employee_1042,F,Finance,Delhi,Rahul Nair,Full-time,English,12/3/2021,3/11/2024
1043,Employee_1043,F,Sales,Hyderabad,Rahul Nair,Full-time,Marathi,7/23/2023,
1044,Employee_1044,F,Finance,Hyderabad,Rajesh Rao,Full-time,Marathi,6/20/2021,3/14/2023
1045,Employee_1045,F,Finance,Mumbai,Nisha Patel,Intern,Hindi,11/1/2020,
1046,Employee_1046,F,Marketing,Chennai,Nisha Patel,Full-time,Telugu,3/26/2020,11/1/2020
1047,Employee_1047,F,Finance,Chennai,Nisha Patel,Full-time,Hindi,2/20/2023,
1048,Employee_1048,M,Marketing,Chennai,Rahul Nair,Intern,Marathi,12/28/2020,
1049,Employee_1049,M,HR,Hyderabad,Meena Das,Full-time,Hindi,5/23/2021,11/7/2023
1050,Employee_1050,M,Sales,Chennai,Nisha Patel,Intern,Telugu,7/31/2022,9/17/2023
1051,Employee_1051,F,Tech Support,Chennai,Amit Joshi,Intern,Marathi,7/24/2021,
1052,Employee_1052,M,Tech Support,Bangalore,Amit Joshi,Intern,English,1/3/2023,7/30/2023
1053,Employee_1053,F,Operations,Pune,Meena Das,Full-time,Tamil,8/10/2020,
1054,Employee_1054,F,Sales,Mumbai,Amit Joshi,Full-time,Telugu,3/26/2023,11/6/2023
1055,Employee_1055,F,Finance,Pune,Rajesh Rao,Intern,Kannada,6/2/2022,10/9/2024
1056,Employee_1056,F,HR,Chennai,Rahul Nair,Full-time,Hindi,9/25/2021,
1057,Employee_1057,F,Operations,Chennai,Nisha Patel,Intern,Tamil,5/11/2022,
1058,Employee_1058,F,Tech Support,Bangalore,Meena Das,Intern,Tamil,1/27/2023,
1059,Employee_1059,M,Finance,Delhi,Nisha Patel,Full-time,Telugu,6/23/2022,
1060,Employee_1060,F,Sales,Bangalore,Rahul Nair,Full-time,Hindi,11/21/2022,
1061,Employee_1061,F,Finance,Hyderabad,Meena Das,Intern,Marathi,10/28/2020,1/1/2022
1062,Employee_1062,F,HR,Delhi,Nisha Patel,Full-time,Marathi,3/24/2023,
1063,Employee_1063,F,Marketing,Bangalore,Amit Joshi,Intern,English,11/9/2023,8/24/2024
1064,Employee_1064,F,Marketing,Delhi,Amit Joshi,Intern,Tamil,2/15/2023,12/16/2023
1065,Employee_1065,F,Finance,Delhi,Nisha Patel,Intern,Tamil,6/8/2023,
1066,Employee_1066,F,Finance,Delhi,Nisha Patel,Intern,Tamil,6/14/2021,
1067,Employee_1067,M,Tech Support,Pune,Rahul Nair,Full-time,Hindi,6/7/2020,
1068,Employee_1068,M,Operations,Bangalore,Rajesh Rao,Intern,Tamil,11/4/2020,4/13/2023
1069,Employee_1069,F,Sales,Bangalore,Meena Das,Intern,Kannada,11/8/2021,
1070,Employee_1070,F,HR,Hyderabad,Rahul Nair,Intern,Tamil,11/25/2023,
1071,Employee_1071,M,HR,Bangalore,Rahul Nair,Intern,Tamil,5/8/2022,
1072,Employee_1072,F,Operations,Bangalore,Meena Das,Full-time,Kannada,2/29/2020,7/12/2022
1073,Employee_1073,M,Sales,Chennai,Meena Das,Full-time,Tamil,12/29/2022,8/3/2024
1074,Employee_1074,F,Marketing,Delhi,Rahul Nair,Intern,Tamil,1/7/2021,7/29/2022
1075,Employee_1075,F,Tech Support,Hyderabad,Meena Das,Full-time,Marathi,7/23/2021,
1076,Employee_1076,M,Operations,Hyderabad,Rajesh Rao,Full-time,Hindi,1/9/2023,6/30/2024
1077,Employee_1077,M,Marketing,Bangalore,Meena Das,Full-time,Kannada,2/12/2021,
1078,Employee_1078,F,Tech Support,Bangalore,Amit Joshi,Full-time,Hindi,3/22/2021,
1079,Employee_1079,F,Finance,Chennai,Meena Das,Intern,Marathi,9/29/2021,4/23/2022
1080,Employee_1080,M,Sales,Chennai,Rahul Nair,Full-time,Kannada,2/10/2021,7/17/2023
1081,Employee_1081,F,Sales,Mumbai,Rahul Nair,Full-time,Tamil,3/25/2020,12/3/2021
1082,Employee_1082,F,Operations,Bangalore,Meena Das,Full-time,Marathi,9/30/2022,4/2/2024
1083,Employee_1083,F,Finance,Mumbai,Meena Das,Intern,Tamil,12/4/2022,
1084,Employee_1084,M,Tech Support,Delhi,Nisha Patel,Intern,Kannada,4/28/2023,7/2/2024
1085,Employee_1085,F,Sales,Delhi,Rahul Nair,Full-time,Tamil,6/3/2023,
1086,Employee_1086,F,Tech Support,Mumbai,Rahul Nair,Full-time,Kannada,3/10/2021,5/28/2022
1087,Employee_1087,F,Finance,Bangalore,Meena Das,Intern,Tamil,1/26/2021,9/14/2022
1088,Employee_1088,F,Operations,Bangalore,Rahul Nair,Intern,Tamil,2/5/2020,3/17/2021
1089,Employee_1089,F,Operations,Mumbai,Rahul Nair,Intern,Marathi,2/7/2023,
1090,Employee_1090,M,Sales,Chennai,Nisha Patel,Intern,English,7/18/2022,9/28/2023
1091,Employee_1091,M,Marketing,Bangalore,Meena Das,Intern,Marathi,1/2/2023,
1092,Employee_1092,F,Sales,Bangalore,Rahul Nair,Full-time,Telugu,4/22/2023,
1093,Employee_1093,M,Tech Support,Hyderabad,Rajesh Rao,Intern,Marathi,1/2/2021,12/29/2022
1094,Employee_1094,F,Sales,Hyderabad,Amit Joshi,Intern,Tamil,9/15/2020,
1095,Employee_1095,M,Sales,Pune,Meena Das,Full-time,English,9/7/2022,
1096,Employee_1096,M,Marketing,Bangalore,Amit Joshi,Intern,English,3/31/2022,
1097,Employee_1097,M,Finance,Delhi,Meena Das,Intern,Telugu,5/23/2021,1/19/2023
1098,Employee_1098,F,Finance,Mumbai,Rajesh Rao,Full-time,Hindi,4/20/2023,
1099,Employee_1099,M,Marketing,Bangalore,Nisha Patel,Full-time,Hindi,7/5/2023,
1100,Employee_1100,F,Tech Support,Hyderabad,Nisha Patel,Intern,Marathi,1/6/2020,
1101,Employee_1101,F,Sales,Chennai,Nisha Patel,Intern,Marathi,8/2/2021,
1102,Employee_1102,M,HR,Hyderabad,Amit Joshi,Full-time,Marathi,4/22/2023,
1103,Employee_1103,M,Sales,Hyderabad,Nisha Patel,Intern,Kannada,11/1/2020,
1104,Employee_1104,F,Sales,Delhi,Rahul Nair,Intern,Telugu,3/11/2023,
1105,Employee_1105,F,Sales,Mumbai,Rajesh Rao,Intern,Marathi,10/21/2022,
1106,Employee_1106,M,Sales,Bangalore,Amit Joshi,Full-time,Marathi,10/22/2021,
1107,Employee_1107,M,HR,Mumbai,Meena Das,Intern,Hindi,7/5/2021,
1108,Employee_1108,F,Sales,Delhi,Rahul Nair,Intern,Telugu,4/13/2023,
1109,Employee_1109,M,Tech Support,Delhi,Meena Das,Intern,Marathi,10/19/2021,
1110,Employee_1110,M,HR,Hyderabad,Rahul Nair,Intern,Telugu,3/31/2022,
1111,Employee_1111,F,Finance,Hyderabad,Amit Joshi,Intern,Tamil,8/25/2020,
1112,Employee_1112,F,Operations,Delhi,Rajesh Rao,Full-time,Telugu,4/21/2020,10/23/2021
1113,Employee_1113,F,Operations,Delhi,Rajesh Rao,Full-time,Marathi,1/29/2023,5/17/2024
1114,Employee_1114,M,Tech Support,Mumbai,Rajesh Rao,Intern,English,5/31/2023,
1115,Employee_1115,M,HR,Hyderabad,Nisha Patel,Intern,Marathi,4/5/2021,
1116,Employee_1116,F,HR,Delhi,Meena Das,Full-time,Tamil,8/20/2021,
1117,Employee_1117,M,Sales,Pune,Meena Das,Intern,Kannada,2/2/2023,2/12/2024
1118,Employee_1118,F,Operations,Pune,Amit Joshi,Intern,Hindi,7/1/2021,
1119,Employee_1119,F,Tech Support,Mumbai,Amit Joshi,Intern,Tamil,7/3/2022,
1120,Employee_1120,M,Finance,Delhi,Nisha Patel,Intern,English,10/21/2021,
1121,Employee_1121,F,HR,Chennai,Nisha Patel,Intern,English,10/13/2021,
1122,Employee_1122,F,Sales,Delhi,Rajesh Rao,Intern,English,9/15/2020,
1123,Employee_1123,M,Sales,Delhi,Rahul Nair,Intern,Kannada,10/22/2020,
1124,Employee_1124,F,Operations,Mumbai,Meena Das,Intern,Marathi,11/19/2023,8/7/2024
1125,Employee_1125,M,Finance,Hyderabad,Nisha Patel,Intern,Hindi,9/26/2022,
1126,Employee_1126,M,Operations,Chennai,Rajesh Rao,Intern,Hindi,7/4/2020,
1127,Employee_1127,M,Tech Support,Hyderabad,Rahul Nair,Intern,Telugu,11/22/2023,6/18/2024
1128,Employee_1128,F,Finance,Chennai,Nisha Patel,Full-time,Hindi,6/1/2022,5/24/2024
1129,Employee_1129,F,Finance,Chennai,Nisha Patel,Intern,Kannada,6/10/2020,
1130,Employee_1130,F,HR,Pune,Rajesh Rao,Intern,Telugu,10/20/2020,1/31/2023
1131,Employee_1131,M,HR,Pune,Amit Joshi,Intern,Marathi,10/19/2023,
1132,Employee_1132,F,Tech Support,Bangalore,Meena Das,Intern,English,5/18/2022,
1133,Employee_1133,F,Operations,Pune,Rajesh Rao,Intern,Telugu,4/30/2021,10/29/2022
1134,Employee_1134,M,Finance,Chennai,Meena Das,Intern,Hindi,1/17/2020,
1135,Employee_1135,M,Operations,Bangalore,Amit Joshi,Intern,Marathi,5/28/2023,
1136,Employee_1136,M,Operations,Hyderabad,Rajesh Rao,Intern,Tamil,9/12/2023,
1137,Employee_1137,M,Sales,Pune,Rahul Nair,Intern,Hindi,3/9/2020,
1138,Employee_1138,F,Finance,Mumbai,Rahul Nair,Full-time,Telugu,2/15/2021,2/17/2023
1139,Employee_1139,F,Operations,Pune,Rajesh Rao,Intern,English,9/13/2022,
1140,Employee_1140,M,Operations,Chennai,Meena Das,Intern,English,10/15/2020,
1141,Employee_1141,M,HR,Pune,Rahul Nair,Intern,Marathi,3/19/2022,3/17/2024
1142,Employee_1142,F,Sales,Mumbai,Amit Joshi,Intern,Kannada,1/30/2022,3/25/2023
1143,Employee_1143,F,Operations,Pune,Meena Das,Full-time,Hindi,3/29/2021,
1144,Employee_1144,F,HR,Hyderabad,Rajesh Rao,Full-time,Kannada,4/2/2020,
1145,Employee_1145,F,Finance,Chennai,Nisha Patel,Intern,Marathi,10/4/2020,4/16/2022
1146,Employee_1146,F,Tech Support,Hyderabad,Rahul Nair,Full-time,Tamil,7/21/2020,
1147,Employee_1147,F,Sales,Chennai,Rahul Nair,Intern,English,6/29/2022,
1148,Employee_1148,F,Sales,Chennai,Nisha Patel,Full-time,English,3/26/2022,1/25/2023
1149,Employee_1149,M,Sales,Mumbai,Nisha Patel,Full-time,Hindi,11/14/2021,9/18/2022
1150,Employee_1150,M,Tech Support,Bangalore,Nisha Patel,Intern,Hindi,11/3/2021,
1151,Employee_1151,M,Marketing,Hyderabad,Rahul Nair,Full-time,Kannada,8/13/2020,
1152,Employee_1152,M,Marketing,Chennai,Meena Das,Full-time,Marathi,10/25/2021,1/19/2023
1153,Employee_1153,F,Finance,Mumbai,Rajesh Rao,Intern,Kannada,5/10/2020,
1154,Employee_1154,M,Operations,Chennai,Amit Joshi,Intern,Tamil,3/29/2021,
1155,Employee_1155,M,HR,Delhi,Meena Das,Full-time,Tamil,8/10/2023,
1156,Employee_1156,F,Finance,Bangalore,Rajesh Rao,Full-time,Telugu,6/27/2022,3/16/2023
1157,Employee_1157,F,HR,Mumbai,Amit Joshi,Intern,Tamil,7/2/2023,
1158,Employee_1158,M,Operations,Hyderabad,Amit Joshi,Full-time,Tamil,11/1/2022,
1159,Employee_1159,F,Tech Support,Delhi,Meena Das,Intern,Marathi,7/13/2022,
1160,Employee_1160,F,Tech Support,Bangalore,Meena Das,Full-time,English,7/13/2020,11/25/2021
1161,Employee_1161,F,Marketing,Mumbai,Rajesh Rao,Intern,Marathi,6/23/2020,3/28/2021
1162,Employee_1162,F,Operations,Hyderabad,Rahul Nair,Intern,Telugu,9/7/2020,
1163,Employee_1163,M,Marketing,Chennai,Meena Das,Full-time,English,7/31/2020,
1164,Employee_1164,F,Sales,Pune,Amit Joshi,Full-time,Tamil,12/18/2021,
1165,Employee_1165,M,Finance,Chennai,Rahul Nair,Full-time,Hindi,2/22/2023,
1166,Employee_1166,F,Tech Support,Pune,Rajesh Rao,Full-time,Hindi,7/13/2021,
1167,Employee_1167,M,Marketing,Chennai,Rajesh Rao,Full-time,Marathi,3/5/2023,
1168,Employee_1168,F,Tech Support,Bangalore,Rahul Nair,Intern,Marathi,12/22/2022,8/22/2024
1169,Employee_1169,M,Sales,Bangalore,Nisha Patel,Full-time,Marathi,10/26/2021,
1170,Employee_1170,F,HR,Mumbai,Meena Das,Intern,Telugu,6/16/2020,10/21/2022
1171,Employee_1171,M,Tech Support,Delhi,Rajesh Rao,Intern,Marathi,3/17/2021,
1172,Employee_1172,F,Sales,Bangalore,Meena Das,Full-time,English,10/21/2023,
1173,Employee_1173,M,Tech Support,Pune,Rahul Nair,Full-time,English,2/22/2021,3/25/2022
1174,Employee_1174,M,Marketing,Delhi,Amit Joshi,Full-time,Kannada,10/15/2022,
1175,Employee_1175,F,Sales,Delhi,Rajesh Rao,Intern,English,2/18/2023,
1176,Employee_1176,F,Finance,Delhi,Amit Joshi,Intern,Marathi,7/30/2022,
1177,Employee_1177,M,HR,Hyderabad,Rahul Nair,Full-time,Kannada,8/4/2023,
1178,Employee_1178,F,Sales,Delhi,Rajesh Rao,Full-time,Tamil,7/31/2022,
1179,Employee_1179,M,HR,Pune,Rahul Nair,Full-time,Telugu,4/21/2023,
1180,Employee_1180,M,Finance,Mumbai,Nisha Patel,Intern,Telugu,12/10/2020,3/18/2023
1181,Employee_1181,M,Sales,Bangalore,Rahul Nair,Full-time,Hindi,8/14/2023,
1182,Employee_1182,M,Marketing,Chennai,Meena Das,Intern,Kannada,5/18/2023,
1183,Employee_1183,F,Operations,Pune,Nisha Patel,Intern,English,4/1/2023,
1184,Employee_1184,F,Tech Support,Mumbai,Rajesh Rao,Intern,Kannada,8/18/2022,
1185,Employee_1185,M,Sales,Pune,Rahul Nair,Full-time,Marathi,5/31/2020,3/4/2022
1186,Employee_1186,F,HR,Mumbai,Amit Joshi,Full-time,Tamil,7/3/2020,
1187,Employee_1187,F,Finance,Delhi,Amit Joshi,Full-time,English,3/16/2023,
1188,Employee_1188,M,Finance,Chennai,Nisha Patel,Full-time,Hindi,7/11/2022,12/24/2023
1189,Employee_1189,M,Tech Support,Pune,Rahul Nair,Intern,Tamil,6/15/2022,
1190,Employee_1190,M,Operations,Chennai,Rahul Nair,Full-time,Telugu,11/23/2021,
1191,Employee_1191,F,Tech Support,Pune,Amit Joshi,Full-time,Telugu,7/12/2020,
1192,Employee_1192,M,Tech Support,Pune,Meena Das,Full-time,Kannada,6/15/2020,
1193,Employee_1193,F,Marketing,Chennai,Amit Joshi,Full-time,Marathi,6/22/2020,1/8/2022
1194,Employee_1194,F,Sales,Pune,Rahul Nair,Full-time,Hindi,10/5/2023,
1195,Employee_1195,F,Marketing,Bangalore,Nisha Patel,Full-time,English,11/30/2021,
1196,Employee_1196,M,Finance,Mumbai,Amit Joshi,Full-time,Marathi,8/28/2021,
1197,Employee_1197,M,Finance,Delhi,Nisha Patel,Full-time,Hindi,11/20/2021,
1198,Employee_1198,M,Operations,Delhi,Rajesh Rao,Intern,Telugu,11/19/2023,
1199,Employee_1199,F,Finance,Pune,Meena Das,Full-time,Kannada,10/17/2023,
1200,Employee_1200,M,Tech Support,Chennai,Amit Joshi,Intern,Tamil,5/4/2021,2/23/2023
1201,Employee_1201,F,Marketing,Bangalore,Amit Joshi,Full-time,Telugu,7/31/2021,
1202,Employee_1202,F,Finance,Hyderabad,Amit Joshi,Full-time,Telugu,4/16/2020,
1203,Employee_1203,F,HR,Mumbai,Nisha Patel,Intern,English,6/20/2020,
1204,Employee_1204,F,Sales,Delhi,Rajesh Rao,Intern,Kannada,3/30/2021,
1205,Employee_1205,F,Marketing,Hyderabad,Rahul Nair,Full-time,Marathi,2/4/2022,10/25/2022
1206,Employee_1206,M,Sales,Pune,Meena Das,Full-time,Marathi,8/24/2023,7/18/2024
1207,Employee_1207,M,Sales,Hyderabad,Rahul Nair,Full-time,Hindi,8/18/2022,
1208,Employee_1208,F,Sales,Pune,Nisha Patel,Intern,English,1/28/2023,
1209,Employee_1209,F,Sales,Hyderabad,Meena Das,Full-time,Marathi,4/7/2020,7/20/2022
1210,Employee_1210,M,Tech Support,Delhi,Rajesh Rao,Intern,Hindi,11/21/2022,
1211,Employee_1211,M,Finance,Pune,Rajesh Rao,Full-time,Tamil,3/14/2023,
1212,Employee_1212,F,Tech Support,Chennai,Rajesh Rao,Intern,English,8/20/2022,3/18/2024
1213,Employee_1213,M,Finance,Chennai,Rahul Nair,Full-time,English,12/7/2021,4/7/2024
1214,Employee_1214,M,Operations,Delhi,Meena Das,Full-time,Hindi,12/22/2021,
1215,Employee_1215,F,Sales,Pune,Nisha Patel,Full-time,Hindi,5/9/2020,
1216,Employee_1216,F,Finance,Delhi,Rahul Nair,Full-time,Marathi,3/26/2020,8/5/2021
1217,Employee_1217,F,Tech Support,Hyderabad,Rahul Nair,Intern,Tamil,1/26/2021,9/11/2021
1218,Employee_1218,F,Tech Support,Bangalore,Meena Das,Intern,Telugu,6/19/2022,
1219,Employee_1219,F,Sales,Delhi,Amit Joshi,Full-time,Kannada,11/29/2022,8/20/2023
1220,Employee_1220,F,Operations,Pune,Rahul Nair,Intern,Kannada,8/24/2021,5/12/2022
1221,Employee_1221,F,HR,Hyderabad,Rahul Nair,Intern,Telugu,5/22/2022,2/15/2024
1222,Employee_1222,M,Sales,Chennai,Meena Das,Intern,Kannada,8/2/2023,
1223,Employee_1223,M,Finance,Chennai,Meena Das,Full-time,Hindi,10/23/2023,5/21/2024
1224,Employee_1224,F,Tech Support,Delhi,Amit Joshi,Full-time,Kannada,5/17/2020,9/4/2022
1225,Employee_1225,F,Tech Support,Delhi,Rajesh Rao,Full-time,Kannada,11/10/2020,
1226,Employee_1226,F,Marketing,Hyderabad,Rajesh Rao,Full-time,Tamil,1/21/2022,5/15/2024
1227,Employee_1227,M,Tech Support,Pune,Meena Das,Full-time,Kannada,11/26/2022,12/20/2024
1228,Employee_1228,F,Marketing,Hyderabad,Nisha Patel,Full-time,Tamil,8/7/2021,
1229,Employee_1229,F,Sales,Chennai,Rahul Nair,Intern,Marathi,12/19/2020,
1230,Employee_1230,F,Tech Support,Bangalore,Nisha Patel,Intern,Kannada,5/12/2020,
1231,Employee_1231,M,Marketing,Delhi,Rajesh Rao,Intern,Kannada,4/4/2021,4/24/2022
1232,Employee_1232,M,Finance,Hyderabad,Rajesh Rao,Intern,Tamil,3/18/2023,
1233,Employee_1233,F,Finance,Hyderabad,Nisha Patel,Intern,Marathi,9/7/2022,
1234,Employee_1234,F,Marketing,Mumbai,Amit Joshi,Full-time,Hindi,5/31/2020,
1235,Employee_1235,M,Sales,Mumbai,Nisha Patel,Intern,Hindi,6/5/2022,
1236,Employee_1236,F,Finance,Pune,Rajesh Rao,Intern,Hindi,11/27/2020,1/11/2022
1237,Employee_1237,F,Marketing,Chennai,Rahul Nair,Full-time,Kannada,7/24/2023,
1238,Employee_1238,M,Marketing,Chennai,Amit Joshi,Intern,Kannada,8/5/2023,
1239,Employee_1239,M,Sales,Hyderabad,Amit Joshi,Intern,Marathi,3/25/2020,
1240,Employee_1240,F,Finance,Chennai,Rajesh Rao,Intern,Marathi,3/7/2021,
1241,Employee_1241,F,Marketing,Chennai,Meena Das,Intern,Tamil,1/22/2023,5/25/2024
1242,Employee_1242,M,HR,Delhi,Meena Das,Intern,Hindi,5/29/2020,
1243,Employee_1243,F,Operations,Pune,Rahul Nair,Intern,Hindi,11/27/2021,
1244,Employee_1244,M,Tech Support,Bangalore,Meena Das,Full-time,Telugu,1/28/2022,
1245,Employee_1245,M,Tech Support,Delhi,Amit Joshi,Intern,Hindi,7/9/2022,4/14/2023
1246,Employee_1246,F,Marketing,Bangalore,Meena Das,Intern,Tamil,11/23/2020,
1247,Employee_1247,M,HR,Mumbai,Meena Das,Full-time,Hindi,9/23/2021,
1248,Employee_1248,F,HR,Mumbai,Meena Das,Intern,Kannada,4/9/2023,11/26/2023
1249,Employee_1249,F,Marketing,Pune,Rahul Nair,Intern,Telugu,1/17/2020,
1250,Employee_1250,M,Tech Support,Mumbai,Rahul Nair,Full-time,Tamil,4/2/2020,
1251,Employee_1251,F,Finance,Chennai,Amit Joshi,Full-time,Hindi,10/29/2022,
1252,Employee_1252,F,Marketing,Bangalore,Amit Joshi,Intern,Kannada,7/17/2020,12/26/2021
1253,Employee_1253,F,HR,Mumbai,Meena Das,Full-time,Kannada,3/23/2020,2/6/2021
1254,Employee_1254,F,Marketing,Delhi,Amit Joshi,Intern,Kannada,11/21/2022,
1255,Employee_1255,F,Operations,Mumbai,Rahul Nair,Intern,English,11/19/2021,
1256,Employee_1256,F,Finance,Pune,Rajesh Rao,Intern,Telugu,1/24/2022,11/12/2022
1257,Employee_1257,M,Operations,Hyderabad,Amit Joshi,Intern,Hindi,9/4/2023,
1258,Employee_1258,F,Marketing,Chennai,Nisha Patel,Full-time,Kannada,12/9/2022,
1259,Employee_1259,F,HR,Bangalore,Meena Das,Full-time,Tamil,8/13/2020,5/6/2022
1260,Employee_1260,F,Operations,Chennai,Rajesh Rao,Full-time,Kannada,10/24/2022,
1261,Employee_1261,F,Finance,Delhi,Rahul Nair,Full-time,Tamil,2/28/2021,
1262,Employee_1262,F,Finance,Delhi,Nisha Patel,Full-time,Telugu,12/27/2022,6/21/2024
1263,Employee_1263,F,Operations,Bangalore,Meena Das,Intern,Tamil,2/16/2023,6/14/2024
1264,Employee_1264,F,Tech Support,Hyderabad,Amit Joshi,Intern,Tamil,12/15/2021,
1265,Employee_1265,M,Tech Support,Hyderabad,Rahul Nair,Full-time,Telugu,12/7/2021,
1266,Employee_1266,F,Marketing,Bangalore,Amit Joshi,Intern,Kannada,6/24/2022,
1267,Employee_1267,M,Marketing,Hyderabad,Amit Joshi,Full-time,Marathi,11/26/2023,9/12/2024
1268,Employee_1268,F,Operations,Delhi,Rajesh Rao,Full-time,English,4/21/2021,12/15/2022
1269,Employee_1269,M,HR,Chennai,Meena Das,Intern,Marathi,2/1/2023,
1270,Employee_1270,F,Tech Support,Pune,Rajesh Rao,Full-time,Marathi,2/12/2021,
1271,Employee_1271,M,HR,Bangalore,Rajesh Rao,Intern,Tamil,3/21/2023,10/25/2023
1272,Employee_1272,F,Sales,Hyderabad,Rahul Nair,Full-time,Telugu,1/16/2021,
1273,Employee_1273,F,Marketing,Mumbai,Meena Das,Intern,Hindi,8/5/2021,
1274,Employee_1274,F,Operations,Bangalore,Rajesh Rao,Intern,Telugu,8/18/2020,5/29/2022
1275,Employee_1275,M,Marketing,Mumbai,Meena Das,Intern,Kannada,3/8/2023,
1276,Employee_1276,M,Marketing,Bangalore,Meena Das,Intern,Hindi,11/2/2021,3/16/2024
1277,Employee_1277,F,Tech Support,Pune,Rahul Nair,Full-time,Telugu,1/14/2020,3/10/2021
1278,Employee_1278,M,Operations,Hyderabad,Meena Das,Intern,Hindi,8/31/2023,10/25/2024
1279,Employee_1279,F,Operations,Hyderabad,Rahul Nair,Intern,Kannada,4/10/2022,
1280,Employee_1280,F,Marketing,Delhi,Amit Joshi,Intern,Tamil,3/28/2021,2/7/2022
1281,Employee_1281,M,Marketing,Chennai,Amit Joshi,Full-time,Kannada,1/29/2023,
1282,Employee_1282,F,Sales,Mumbai,Rajesh Rao,Full-time,Kannada,7/3/2022,
1283,Employee_1283,M,Marketing,Pune,Amit Joshi,Intern,English,11/1/2022,10/30/2024
1284,Employee_1284,F,Sales,Mumbai,Meena Das,Full-time,Tamil,10/25/2023,
1285,Employee_1285,F,Finance,Hyderabad,Amit Joshi,Intern,Marathi,9/27/2020,
